Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment
1000,35,13,53.80000000000001,4,3,2,432
1001,242,12,100.0,2,3,3,233
1002,122,8,70.3,3,2,2,322
1003,323,8,60.65,1,2,2,122
1004,28,21,204.96,4,4,4,444
1005,706,4,24.0,1,1,1,111
1006,199,15,182.94000000000003,2,4,4,244
1008,88,12,155.90000000000003,3,3,4,334
1009,86,9,48.75000000000001,3,2,2,322
1010,152,12,89.36,2,3,3,233
1011,21,13,89.8,4,3,3,433
1012,41,11,75.86,4,3,3,433
1013,89,19,186.75,3,4,4,344
1014,88,10,75.1,3,3,3,333
1015,240,7,71.4,2,2,2,222
1016,86,11,104.7,3,3,3,333
1017,91,11,75.49,3,3,3,333
1018,221,8,94.60000000000002,2,2,3,223
1019,385,2,73.5,1,1,2,112
1020,78,10,73.84,3,3,2,332
1021,53,8,53.400000000000006,4,2,2,422
1022,571,6,117.5,1,1,4,114
1023,185,17,181.99999999999997,2,4,4,244
1024,142,4,58.199999999999996,2,1,2,212
1025,133,6,42.62,3,1,1,311
1026,216,17,117.35000000000002,2,4,4,244
1027,227,9,129.7,2,2,4,224
1028,172,13,107.6,2,3,3,233
1029,291,2,16.349999999999998,1,1,1,111
1031,76,7,64.60000000000001,3,2,2,322
1032,129,16,96.46000000000001,3,4,3,343
1033,198,12,91.30000000000001,2,3,3,233
1034,596,9,83.04999999999998,1,2,3,123
1035,113,14,69.9,3,4,2,342
1036,709,2,10.8,1,1,1,111
1037,14,10,58.440000000000005,4,3,2,432
1038,16,19,214.20000000000002,4,4,4,444
1039,213,2,2.7,2,1,1,211
1040,34,11,48.1,4,3,2,432
1041,272,10,113.75,2,3,3,233
1042,75,6,35.75,3,1,1,311
1043,354,8,94.69,1,2,3,123
1044,66,4,25.4,3,1,1,311
1045,35,9,103.30000000000001,4,2,3,423
1046,189,4,16.700000000000003,2,1,1,211
1047,143,6,51.6,2,1,2,212
1048,73,6,23.800000000000004,3,1,1,311
1049,116,8,62.3,3,2,2,322
1050,240,14,124.6,2,4,4,244
1051,50,20,207.36,4,4,4,444
1052,64,27,271.9,3,4,4,344
1053,174,12,80.70000000000002,2,3,3,233
1054,70,9,43.89999999999999,3,2,2,322
1055,219,6,75.69999999999999,2,1,3,213
1056,51,6,58.199999999999996,4,1,2,412
1057,570,8,32.150000000000006,1,2,1,121
1058,50,8,38.9,4,2,1,421
1059,564,5,16.8,1,1,1,111
1061,116,14,149.10000000000002,3,4,4,344
1062,103,16,129.32,3,4,4,344
1063,341,4,8.1,1,1,1,111
1064,158,7,59.1,2,2,2,222
1065,47,14,225.40000000000003,4,4,4,444
1066,566,6,19.92,1,1,1,111
1067,163,8,112.30000000000001,2,2,3,223
1068,182,4,20.700000000000003,2,1,1,211
1069,132,10,90.44999999999999,3,3,3,333
1070,420,4,66.39999999999999,1,1,2,112
1071,460,3,17.1,1,1,1,111
1072,68,4,50.7,3,1,2,312
1073,27,12,109.80000000000001,4,3,3,433
1074,75,10,71.96,3,3,2,332
1075,41,11,80.29999999999998,4,3,3,433
1076,77,13,87.9,3,3,3,333
1077,109,14,50.900000000000006,3,4,2,342
1078,63,7,50.00000000000001,3,2,2,322
1079,112,6,89.1,3,1,3,313
1080,230,5,17.8,2,1,1,211
1081,241,16,138.6,2,4,4,244
1082,596,5,65.8,1,1,2,112
1083,327,7,102.70000000000002,1,2,3,123
1084,621,2,7.6,1,1,1,111
1085,137,7,31.740000000000002,3,2,1,321
1086,2,14,94.39999999999999,4,4,3,443
1087,138,21,193.82,3,4,4,344
1088,30,9,58.75,4,2,2,422
1089,390,2,9.3,1,1,1,111
1090,70,12,219.20000000000002,3,3,4,334
1092,82,20,104.31,3,4,3,343
1093,277,2,3.65,2,1,1,211
1094,113,20,149.78999999999996,3,4,4,344
1095,61,8,57.760000000000005,3,2,2,322
1096,155,2,15.3,2,1,1,211
1097,59,17,106.47999999999999,3,4,3,343
1098,48,24,267.62,4,4,4,444
1099,139,6,39.7,3,1,1,311
1100,293,10,88.3,1,3,3,133
1101,367,7,52.0,1,2,2,122
1102,186,10,73.7,2,3,2,232
1103,403,10,87.1,1,3,3,133
1104,64,10,40.25,3,3,1,331
1105,222,6,34.8,2,1,1,211
1107,90,20,129.38,3,4,4,344
1108,153,12,94.06000000000002,2,3,3,233
1109,268,12,93.9,2,3,3,233
1110,40,18,155.9,4,4,4,444
1111,40,11,53.300000000000004,4,3,2,432
1112,265,4,26.36,2,1,1,211
1113,147,11,74.65,2,3,2,232
1114,173,16,121.12,2,4,4,244
1115,342,8,68.50000000000001,1,2,2,122
1116,31,24,157.39999999999998,4,4,4,444
1117,220,3,34.6,2,1,1,211
1118,5,18,173.39999999999998,4,4,4,444
1119,329,2,22.400000000000002,1,1,1,111
1120,95,17,144.39,3,4,4,344
1121,655,2,30.62,1,1,1,111
1122,9,6,33.0,4,1,1,411
1123,48,11,73.60000000000001,4,3,2,432
1124,494,4,15.9,1,1,1,111
1125,41,11,67.56,4,3,2,432
1126,227,9,124.20000000000002,2,2,4,224
1127,76,12,85.16000000000001,3,3,3,333
1128,178,10,67.25,2,3,2,232
1129,374,13,179.64000000000001,1,3,4,134
1130,103,11,94.95,3,3,3,333
1132,99,10,25.439999999999998,3,3,1,331
1133,149,13,148.94,2,3,4,234
1134,391,7,48.400000000000006,1,2,2,122
1135,173,10,43.37,2,3,1,231
1136,57,19,209.06000000000006,4,4,4,444
1137,95,6,17.6,3,1,1,311
1138,119,6,53.3,3,1,2,312
1139,345,9,72.80000000000001,1,2,2,122
1140,187,8,66.69999999999999,2,2,2,222
1141,380,9,80.79999999999997,1,2,3,123
1142,200,8,81.0,2,2,3,223
1143,249,12,54.5,2,3,2,232
1144,76,16,133.25,3,4,4,344
1145,84,6,34.6,3,1,1,311
1146,109,20,157.52,3,4,4,344
1147,409,6,49.199999999999996,1,1,2,112
